
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  14016 Console                    1      1,916 K
svchost.exe                  18672 Console                    1      1,620 K
SystemSettings.exe           18568 Console                    1         20 K
svchost.exe                   5580 Services                   0      2,404 K
MsMpEng.exe                  22996 Services                   0    611,048 K
NisSrv.exe                   19656 Services                   0      9,388 K
dllhost.exe                  22308 Console                    1      9,624 K
svchost.exe                  19252 Services                   0      8,664 K
Calculator.exe               17104 Console                    1      3,352 K
taskhostw.exe                 1476 Console                    1     16,288 K
SearchIndexer.exe            22380 Services                   0    104,468 K
chrome.exe                   11192 Console                    1    406,136 K
chrome.exe                    6252 Console                    1      5,680 K
chrome.exe                   16972 Console                    1     85,656 K
chrome.exe                   21256 Console                    1     58,616 K
chrome.exe                   18160 Console                    1     96,004 K
chrome.exe                   18592 Console                    1     73,472 K
chrome.exe                    2852 Console                    1    169,776 K
chrome.exe                   10052 Console                    1     37,200 K
chrome.exe                   17324 Console                    1     29,072 K
chrome.exe                   20468 Console                    1     36,212 K
chrome.exe                   17032 Console                    1     38,036 K
chrome.exe                    8648 Console                    1     33,368 K
chrome.exe                   18608 Console                    1     30,280 K
chrome.exe                   20988 Console                    1     29,696 K
chrome.exe                    8544 Console                    1     49,272 K
chrome.exe                   16908 Console                    1     46,596 K
chrome.exe                   15608 Console                    1     27,556 K
chrome.exe                    8196 Console                    1     14,508 K
smartscreen.exe               1032 Console                    1     28,108 K
svchost.exe                  13548 Services                   0      6,232 K
RuntimeBroker.exe             3224 Console                    1     19,180 K
MicrosoftEdge.exe            18440 Console                    1     59,560 K
browser_broker.exe           12408 Console                    1      7,544 K
MicrosoftEdgeSH.exe          16324 Console                    1     11,492 K
MicrosoftEdgeCP.exe          13400 Console                    1     55,812 K
dllhost.exe                  12936 Console                    1     10,192 K
svchost.exe                  20524 Services                   0      5,388 K
Microsoft.Photos.exe         20804 Console                    1      2,300 K
RuntimeBroker.exe             5928 Console                    1     27,148 K
wlanext.exe                   5324 Services                   0     14,588 K
conhost.exe                  15848 Services                   0      4,856 K
svchost.exe                   3228 Services                   0      4,564 K
atom.exe                     26904 Console                    1    150,756 K
atom.exe                     27232 Console                    1    105,316 K
atom.exe                      5036 Console                    1     12,992 K
atom.exe                      9704 Console                    1    282,584 K
atom.exe                     20160 Console                    1    110,360 K
YourPhone.exe                 8628 Console                    1     14,340 K
RuntimeBroker.exe            10988 Console                    1     16,680 K
GitHubDesktop.exe            11440 Console                    1     72,280 K
GitHubDesktop.exe             6628 Console                    1     49,224 K
GitHubDesktop.exe            27204 Console                    1     26,340 K
GitHubDesktop.exe            20040 Console                    1     72,100 K
DiscordCanary.exe            19400 Console                    1     71,068 K
DiscordCanary.exe            26352 Console                    1     39,472 K
DiscordCanary.exe            21184 Console                    1     26,056 K
DiscordCanary.exe             7712 Console                    1     12,012 K
DiscordCanary.exe            18316 Console                    1    331,740 K
DiscordCanary.exe            26372 Console                    1     17,360 K
atom.exe                     20220 Console                    1    198,328 K
atom.exe                     19104 Console                    1     99,044 K
chrome.exe                   17272 Console                    1     55,736 K
chrome.exe                   38596 Console                    1     63,704 K
chrome.exe                   35136 Console                    1     48,336 K
chrome.exe                   12344 Console                    1     55,548 K
chrome.exe                   24772 Console                    1     31,536 K
chrome.exe                   38316 Console                    1     60,928 K
chrome.exe                   37756 Console                    1     46,904 K
chrome.exe                   38104 Console                    1     32,984 K
chrome.exe                   32140 Console                    1     91,476 K
chrome.exe                   37780 Console                    1     59,084 K
chrome.exe                   33656 Console                    1     83,160 K
Photoshop.exe                38000 Console                    1    186,200 K
dynamiclinkmanager.exe       23916 Console                    1      9,860 K
